# GL1L2  propL1h= 0.00000 propL1J= 1.00000  lambdaPhi= 0.000400000  lambdaPhij= 0.00200000  ungauged  ModAdamMax  learningRate= 0.00600000  betaV= 0.999000  betaM= 0.900000  eps= 1.00000e-06  batchSize=7007  miniBatchSize= 103  stepsPerEpoch= 68.0000
# learningRate.coolingMethod= (1+at)^b  stepsPerEpoch= 1.000000  warmupEpochs= 100.000000  maxLR= 0.00600000  maxLREpochs= 1736.00  constPerEpoch= 0.100000  power= -0.500000
# initial_h: to reproduce observed amino acid frequencies at each site.
# sigma_initial_J for Gaussian: 0.001
# MCMC Kernel: GibbsWithMHStep
# nIndependentMC = 7007  miniBatchSize = 103  for MCMC 
# initial configuration: observed sequence data
# nSamples for each MC run = 1
# nUnits=48  nInitialIterationsPerUnit=0  everyNIterationsPerUnit=10
# initialT = 1.00000  finalT = 1.00000  annealingRate = 0.990000; annealingRate may be adjusted.
# maxExtendedIterations = 1
# minLearningStepsForBestKL = 1744  minLearningSteps = 1836  maxNoLearnings = 91
#
# Frequencies, fia and fijab, are calculated from the effective number of sequences, effectiveNConfigs= 6341.77 .
#
# step	nNonEquil  nExtendedIterations of MC	<KLpi>	<KLpij> over ensemble and 97 minibatch ensembles with pseudocounts= 10.0000
#0	0 0	0.0748038 0.715107	0.00000 0.0641222
0	0 1	0.0748038 0.715107	0.0748038 0.715107
1	0 1	0.0757919 0.710013	0.0411758 0.511942
2	0 1	0.0730186 0.700814	0.0281682 0.409961
3	0 1	0.0712837 0.705821	0.0211504 0.349498
4	0 1	0.0753567 0.707206	0.0170005 0.307076
5	0 1	0.0783679 0.710796	0.0148238 0.279363
6	0 1	0.0766307 0.717241	0.0132073 0.257357
7	0 1	0.0745377 0.704068	0.0116954 0.239178
8	0 1	0.0762095 0.715463	0.0103450 0.224092
9	0 1	0.0715774 0.704690	0.00928222 0.211249
10	0 1	0.0792980 0.718797	0.00833761 0.200752
11	0 1	0.0734328 0.703801	0.00771931 0.191124
12	0 1	0.0674324 0.694300	0.00717560 0.183747
13	0 1	0.0711621 0.705144	0.00675402 0.177614
14	0 1	0.0746491 0.707467	0.00618442 0.171089
15	0 1	0.0745554 0.708619	0.00582999 0.165690
16	0 1	0.0809918 0.722771	0.00546536 0.160635
17	0 1	0.0739033 0.706486	0.00502194 0.155797
18	0 1	0.0764284 0.717995	0.00481018 0.152015
19	0 1	0.0714470 0.707434	0.00448084 0.148266
20	0 1	0.0719889 0.692161	0.00436921 0.145122
21	0 1	0.0702835 0.699850	0.00417937 0.142345
22	0 1	0.0704638 0.704291	0.00391535 0.139225
23	0 1	0.0732863 0.703522	0.00372836 0.136673
24	0 1	0.0714509 0.698774	0.00358987 0.134282
25	0 1	0.0753586 0.704755	0.00339799 0.131929
26	0 1	0.0749676 0.708395	0.00329469 0.129641
27	0 1	0.0742600 0.707045	0.00314249 0.127634
28	0 1	0.0694977 0.696230	0.00308150 0.126031
29	0 1	0.0755140 0.709976	0.00300364 0.124337
30	0 1	0.0756667 0.702322	0.00291027 0.122514
31	0 1	0.0733901 0.700409	0.00282721 0.120945
32	0 1	0.0802128 0.717446	0.00272817 0.119363
33	0 1	0.0811425 0.726422	0.00265946 0.117920
34	0 1	0.0688527 0.694388	0.00259523 0.116716
35	0 1	0.0680634 0.696192	0.00255987 0.115423
36	0 1	0.0728994 0.696749	0.00251422 0.114329
37	0 1	0.0681746 0.687322	0.00243759 0.113093
38	0 1	0.0783922 0.718008	0.00239569 0.112029
39	0 1	0.0726239 0.699028	0.00232366 0.111067
40	0 1	0.0740041 0.705784	0.00226785 0.110120
41	0 1	0.0753960 0.708686	0.00220903 0.109105
42	0 1	0.0733998 0.703476	0.00216775 0.108235
43	0 1	0.0715669 0.700130	0.00210210 0.107343
44	0 1	0.0758554 0.711137	0.00201784 0.106427
45	0 1	0.0754359 0.701754	0.00193093 0.105539
46	0 1	0.0766546 0.715705	0.00192701 0.104789
47	0 1	0.0816264 0.721526	0.00189724 0.104029
48	0 1	0.0732112 0.704533	0.00186164 0.103320
49	0 1	0.0670131 0.692545	0.00181914 0.102484
50	0 1	0.0750255 0.710566	0.00177255 0.101787
51	0 1	0.0718129 0.705294	0.00173726 0.101244
52	0 1	0.0692042 0.693644	0.00168979 0.100546
53	0 1	0.0690352 0.692467	0.00164416 0.0998813
54	0 1	0.0721417 0.700740	0.00162693 0.0992609
55	0 1	0.0747134 0.706885	0.00157660 0.0986400
56	0 1	0.0749266 0.705750	0.00154895 0.0980671
57	0 1	0.0781437 0.716751	0.00153646 0.0975772
58	0 1	0.0775451 0.714868	0.00149628 0.0971512
59	0 1	0.0707940 0.704255	0.00147966 0.0966343
60	0 1	0.0720024 0.699685	0.00144152 0.0960810
61	0 1	0.0710817 0.700322	0.00142290 0.0955680
62	0 1	0.0779390 0.714307	0.00140427 0.0951236
63	0 1	0.0807030 0.727989	0.00137757 0.0945946
64	0 1	0.0786026 0.718107	0.00137526 0.0942159
65	0 1	0.0742181 0.705267	0.00135656 0.0938036
66	0 1	0.0716872 0.700727	0.00132608 0.0933433
67	0 1	0.0777225 0.707829	0.00130556 0.0929066
68	0 1	0.0720784 0.711616	0.00128717 0.0925424
69	0 1	0.0737422 0.702813	0.00128225 0.0921931
70	0 1	0.0698132 0.695726	0.00127188 0.0918754
71	0 1	0.0739505 0.702076	0.00126162 0.0914420
72	0 1	0.0746456 0.699584	0.00125817 0.0911909
73	0 1	0.0730082 0.704653	0.00123554 0.0907914
74	0 1	0.0758139 0.713141	0.00122113 0.0904079
75	0 1	0.0727554 0.700199	0.00121064 0.0901063
76	0 1	0.0772559 0.710449	0.00120020 0.0897786
77	0 1	0.0714614 0.695707	0.00118556 0.0894667
78	0 1	0.0762374 0.705877	0.00116360 0.0891869
79	0 1	0.0778894 0.714356	0.00115455 0.0888506
80	0 1	0.0804173 0.714466	0.00113688 0.0885415
81	0 1	0.0725963 0.699945	0.00111181 0.0881842
82	0 1	0.0776211 0.710802	0.00110538 0.0878561
83	0 1	0.0746877 0.699862	0.00108916 0.0875251
84	0 1	0.0740893 0.704089	0.00107077 0.0872346
85	0 1	0.0784998 0.710378	0.00107309 0.0870125
86	0 1	0.0733395 0.703956	0.00105660 0.0867389
87	0 1	0.0760068 0.712100	0.00105213 0.0864649
88	0 1	0.0769549 0.708785	0.00103669 0.0862172
89	0 1	0.0697302 0.692666	0.00101715 0.0859769
90	0 1	0.0727086 0.697973	0.00100771 0.0857360
91	0 1	0.0774462 0.706446	0.000984665 0.0854318
92	0 1	0.0721341 0.694782	0.000972840 0.0852106
93	0 1	0.0710129 0.689226	0.000960063 0.0849997
94	0 1	0.0774204 0.711855	0.000947480 0.0847395
95	0 1	0.0758598 0.705550	0.000940199 0.0844985
96	0 1	0.0751694 0.710003	0.000944901 0.0843341
97	0 1	0.0693002 0.692109	0.000932772 0.0842838
98	0 1	0.0735650 0.707548	0.000917599 0.0842374
99	0 1	0.0766725 0.712738	0.000908174 0.0841759
100	0 1	0.0692305 0.693786	0.000930124 0.0842294
101	0 1	0.0767049 0.713738	0.000929509 0.0841662
102	0 1	0.0725371 0.702396	0.000927221 0.0840949
103	0 1	0.0769629 0.710546	0.000919899 0.0840570
104	0 1	0.0744938 0.700616	0.000937859 0.0840856
105	0 1	0.0781070 0.717924	0.000942507 0.0840456
106	0 1	0.0680549 0.683921	0.000953339 0.0841021
107	0 1	0.0739644 0.708559	0.000943056 0.0840273
108	0 1	0.0752844 0.705479	0.000927280 0.0840564
109	0 1	0.0703021 0.689130	0.000919269 0.0839761
110	0 1	0.0755633 0.707344	0.000910427 0.0839236
111	0 1	0.0771883 0.702305	0.000917366 0.0839492
112	0 1	0.0736973 0.697150	0.000909719 0.0838856
113	0 1	0.0773786 0.706255	0.000906411 0.0838125
114	0 1	0.0786445 0.711466	0.000894461 0.0837244
115	0 1	0.0733435 0.702652	0.000894966 0.0837157
116	0 1	0.0698858 0.694074	0.000886335 0.0835768
117	0 1	0.0731615 0.702710	0.000884768 0.0834964
118	0 1	0.0749819 0.706872	0.000881099 0.0834641
119	0 1	0.0746783 0.700921	0.000880333 0.0834423
120	0 1	0.0706354 0.694313	0.000865632 0.0833620
121	0 1	0.0721718 0.697923	0.000877359 0.0833707
122	0 1	0.0708215 0.690866	0.000857996 0.0833015
