# miniBatchSize= 103  fullBatchSize= 7007  nSamples/MC= 1  pseudoNCounts= 10.0
# nInitialIterationsPerUnit= 0  everyNIterationsPerUnit= 100  maxExtendedIterations= 1
# Interactions (hia, Jijab) are the same for all steps; read from log_Interactions_hJ_4759.txt.gz
# step	nNonEquil  nExtendedIterations of MC	<KLpi>	<KLpij> over ensemble and 97 minibatch ensembles with pseudocounts= 10.0000
0	0 1	0.0847878 0.671876	0.0847878 0.671876
1	0 1	0.0823177 0.667676	0.0454547 0.452861
2	0 1	0.0691084 0.636204	0.0296120 0.344806
3	0 1	0.0816092 0.668606	0.0243235 0.287417
4	0 1	0.0843055 0.673527	0.0196949 0.244884
5	0 1	0.0750342 0.654153	0.0170697 0.215391
6	0 1	0.0836260 0.680094	0.0147560 0.192640
7	0 1	0.0834086 0.665621	0.0137518 0.176040
8	0 1	0.0719236 0.645726	0.0122211 0.160655
9	0 1	0.0715938 0.645581	0.0112782 0.149368
10	0 1	0.0750874 0.653905	0.0105521 0.139053
11	0 1	0.0751961 0.646782	0.00937607 0.129238
12	0 1	0.0735410 0.654366	0.00880327 0.121621
13	0 1	0.0804028 0.662017	0.00819020 0.114523
14	0 1	0.0784232 0.659689	0.00780097 0.108681
15	0 1	0.0743361 0.650496	0.00728965 0.103453
16	0 1	0.0769679 0.657868	0.00712647 0.0994864
17	0 1	0.0741720 0.653771	0.00675126 0.0951707
18	0 1	0.0883151 0.690333	0.00646330 0.0911819
19	0 1	0.0724717 0.643788	0.00615864 0.0876642
20	0 1	0.0800622 0.655624	0.00590306 0.0844983
21	0 1	0.0796246 0.662772	0.00577486 0.0816168
22	0 1	0.0791329 0.663541	0.00557384 0.0786299
23	0 1	0.0768329 0.653714	0.00539497 0.0759620
24	0 1	0.0809333 0.664741	0.00524420 0.0735962
25	0 1	0.0801371 0.656817	0.00503082 0.0712140
26	0 1	0.0827134 0.665922	0.00484026 0.0690783
27	0 1	0.0808256 0.672424	0.00471918 0.0671732
28	0 1	0.0828329 0.671049	0.00466154 0.0655374
29	0 1	0.0765289 0.650643	0.00464342 0.0640401
30	0 1	0.0806082 0.663661	0.00450989 0.0624773
31	0 1	0.0780084 0.654512	0.00435981 0.0608554
32	0 1	0.0821795 0.673075	0.00427072 0.0595215
33	0 1	0.0814024 0.663939	0.00418728 0.0582822
34	0 1	0.0681503 0.635422	0.00408864 0.0569580
35	0 1	0.0817917 0.669240	0.00408489 0.0559628
36	0 1	0.0830378 0.660898	0.00403091 0.0547828
37	0 1	0.0753886 0.648605	0.00394308 0.0536919
38	0 1	0.0726111 0.645954	0.00384968 0.0526235
39	0 1	0.0809604 0.672526	0.00374938 0.0516708
40	0 1	0.0803819 0.663393	0.00368377 0.0507013
41	0 1	0.0763940 0.652282	0.00362397 0.0497642
42	0 1	0.0835850 0.670535	0.00357361 0.0488682
43	0 1	0.0815576 0.662115	0.00355866 0.0481514
44	0 1	0.0761227 0.655212	0.00348912 0.0472541
45	0 1	0.0795097 0.659386	0.00348054 0.0465998
46	0 1	0.0830612 0.673966	0.00341192 0.0458673
47	0 1	0.0833518 0.669838	0.00337263 0.0451919
48	0 1	0.0726676 0.651306	0.00334434 0.0446161
49	0 1	0.0779221 0.649754	0.00326626 0.0439523
50	0 1	0.0777576 0.657444	0.00321587 0.0433337
51	0 1	0.0739988 0.649762	0.00316853 0.0427336
52	0 1	0.0764983 0.655322	0.00307877 0.0420538
53	0 1	0.0815363 0.662726	0.00306495 0.0415631
54	0 1	0.0868882 0.682750	0.00306107 0.0410890
55	0 1	0.0798426 0.657354	0.00302226 0.0405417
56	0 1	0.0803950 0.661459	0.00298870 0.0400904
57	0 1	0.0780855 0.658890	0.00297078 0.0395923
58	0 1	0.0762605 0.652866	0.00297367 0.0391939
59	0 1	0.0757054 0.659565	0.00294341 0.0386778
60	0 1	0.0730316 0.652527	0.00289535 0.0382068
61	0 1	0.0781386 0.654213	0.00286728 0.0377796
62	0 1	0.0719546 0.644839	0.00281592 0.0373794
63	0 1	0.0804004 0.658310	0.00280329 0.0370225
64	0 1	0.0754207 0.660397	0.00276102 0.0366074
65	0 1	0.0740763 0.649292	0.00273526 0.0362968
66	0 1	0.0852789 0.687755	0.00271109 0.0359782
67	0 1	0.0843457 0.668248	0.00268742 0.0355777
68	0 1	0.0727972 0.648560	0.00267758 0.0352433
69	0 1	0.0780829 0.661413	0.00267422 0.0349387
70	0 1	0.0800923 0.667345	0.00264371 0.0345989
71	0 1	0.0790790 0.653176	0.00264626 0.0342930
72	0 1	0.0759098 0.651991	0.00260917 0.0339445
73	0 1	0.0817761 0.674214	0.00259889 0.0336522
74	0 1	0.0788090 0.668634	0.00258696 0.0333468
75	0 1	0.0831036 0.671170	0.00256564 0.0330466
76	0 1	0.0789826 0.660584	0.00255561 0.0327994
77	0 1	0.0835566 0.668233	0.00252950 0.0325387
78	0 1	0.0757014 0.649379	0.00251053 0.0322602
79	0 1	0.0875690 0.684187	0.00249630 0.0319996
80	0 1	0.0738821 0.648672	0.00248180 0.0317490
81	0 1	0.0800377 0.667011	0.00247975 0.0315377
82	0 1	0.0814104 0.669228	0.00245894 0.0313007
