# GL1L2  propL1h= 0.00000 propL1J= 1.00000  lambdaPhi= 0.000500000  lambdaPhij= 0.00200000  ungauged  ModAdam  learningRate= 0.00600000  betaV= 0.999000  betaM= 0.900000  eps= 1.00000e-06  batchSize=7007  miniBatchSize= 103  stepsPerEpoch= 68.0000
# learningRate.coolingMethod= (1+at)^b  stepsPerEpoch= 1.000000  warmupEpochs= 100.000000  maxLR= 0.00600000  maxLREpochs= 1736.00  constPerEpoch= 0.0100000  power= -0.500000
# initial_h: to reproduce observed amino acid frequencies at each site; pseudoNCountsForhia= 10.0
# sigma_initial_J for Gaussian: 0.001
# MCMC Kernel: GibbsWithMHStep  with pseudoNCountsForProposedPia= 10.0
# nIndependentMC= 7007  miniBatchSize= 103  for MCMC 
# initial configuration: observed sequence data
# nSamples for each MC run: 1
# nUnits= 48  nInitialIterationsPerUnit= 0  everyNIterationsPerUnit= 10
# initialT= 1.00000  finalT= 1.00000  annealingRate= 0.990000 ; annealingRate may be adjusted.
# maxExtendedIterations= 1
# minLearningStepsForBestKL= 3876  minLearningSteps= 1836  maxNoLearnings= 204
#
# Frequencies, fia and fijab, are calculated from the effective number of sequences, effectiveNConfigs= 6341.77 ,
# with the corrections, pseudoNCountsForBM= 0.0 , to avoid 0-counts.
#
# step	nNonEquil  nExtendedIterations of MC	<KLpi>	<KLpij> over ensemble and those over 97 minibatch ensembles with pseudoNCountsForKL= 1.00000
#0	0 0	0.0975072 1.19667	0.00000 0.0648353
0	0 1	0.0975072 1.19667	0.0975072 1.19667
1	0 1	0.0990953 1.16861	0.0479175 0.819749
2	0 1	0.0971144 1.17187	0.0336346 0.643907
3	0 1	0.107215 1.18739	0.0255195 0.542757
4	0 1	0.111050 1.20360	0.0218043 0.475840
5	0 1	0.108184 1.18892	0.0179515 0.424442
6	0 1	0.0922995 1.17334	0.0146206 0.382228
7	0 1	0.103821 1.17844	0.0127313 0.351239
8	0 1	0.0965748 1.19037	0.0112624 0.323870
9	0 1	0.100918 1.17377	0.0101384 0.302248
10	0 1	0.109167 1.17424	0.00938509 0.286060
11	0 1	0.104158 1.17972	0.00872731 0.271112
12	0 1	0.104714 1.18126	0.00829174 0.258385
13	0 1	0.0986484 1.17291	0.00784384 0.247168
14	0 1	0.102419 1.18646	0.00691847 0.236191
15	0 1	0.0997279 1.17863	0.00633413 0.226309
16	0 1	0.0955961 1.16632	0.00604243 0.217874
17	0 1	0.109631 1.19429	0.00578089 0.210494
18	0 1	0.102973 1.19469	0.00503589 0.202850
19	0 1	0.0987026 1.17541	0.00484294 0.197198
20	0 1	0.0882074 1.16796	0.00470277 0.191469
21	0 1	0.0992153 1.19264	0.00449814 0.186015
22	0 1	0.0937464 1.16053	0.00441403 0.181737
23	0 1	0.104068 1.18531	0.00420037 0.177134
24	0 1	0.106310 1.18200	0.00407640 0.173207
25	0 1	0.105078 1.16591	0.00388590 0.169731
26	0 1	0.104452 1.17687	0.00370423 0.166244
