Warning: Only java properties are supported in JAVA_OPTS and JDK_JAVA_OPTIONS environment variables. Other options are ignored: -Xmx16g, -Xss1g, -Xmx16g, -Xss1g
[90mCompiling project (Scala 3.6.4, JVM (17))[0m
[90mCompiled project (Scala 3.6.4, JVM (17))[0m
NOTE: Picked up JDK_JAVA_OPTIONS: -Xmx16g -Xss1g -Djava.library.path=/usr/local/scala/javalib
# ./RunBM.scala . ./PiaPijab.out.gz ./representativeMSA.fasta.gz
# seed for scala.util.Random = 19
# seed for org.sanzo.potts.SetSeedForRand.randBasis = 0
trying to return java 16 instance
Mar 29, 2025 4:35:19 PM dev.ludovic.netlib.blas.InstanceBuilder initializeJava
WARNING: Failed to load implementation from:dev.ludovic.netlib.blas.VectorBLAS
return java 11 instance
ModAdam: step= 1  1  sqrt(max_i v^_i)=   0.222730  sqrt(sum_i v^_i)=   2.805005  ratio= 0.079405  learning rate for ModAdam= 0.000269  learning rate= 0.000060
ModAdam: step= 1  1  sqrt(max_i m^_i^2)= 0.222730  sqrt(sum_i m^_i^2)= 2.805005  ratio= 0.079405  learning rate for ModAdam= 0.000269  learning rate= 0.000060
ModAdam: step= 2  2  sqrt(max_i v^_i)=   0.220944  sqrt(sum_i v^_i)=   2.827438  ratio= 0.078143  learning rate for ModAdam= 0.000543  learning rate= 0.000120
ModAdam: step= 2  2  sqrt(max_i m^_i^2)= 0.220844  sqrt(sum_i m^_i^2)= 2.219303  ratio= 0.099510  learning rate for ModAdam= 0.000543  learning rate= 0.000120
ModAdam: step= 3  3  sqrt(max_i v^_i)=   0.210261  sqrt(sum_i v^_i)=   2.820221  ratio= 0.074555  learning rate for ModAdam= 0.000856  learning rate= 0.000180
ModAdam: step= 3  3  sqrt(max_i m^_i^2)= 0.208395  sqrt(sum_i m^_i^2)= 1.967505  ratio= 0.105919  learning rate for ModAdam= 0.000856  learning rate= 0.000180
ModAdam: step= 4  4  sqrt(max_i v^_i)=   0.200690  sqrt(sum_i v^_i)=   2.818121  ratio= 0.071214  learning rate for ModAdam= 0.001196  learning rate= 0.000240
ModAdam: step= 4  4  sqrt(max_i m^_i^2)= 0.196888  sqrt(sum_i m^_i^2)= 1.828689  ratio= 0.107666  learning rate for ModAdam= 0.001196  learning rate= 0.000240
ModAdam: step= 5  5  sqrt(max_i v^_i)=   0.199355  sqrt(sum_i v^_i)=   2.817998  ratio= 0.070743  learning rate for ModAdam= 0.001505  learning rate= 0.000300
ModAdam: step= 5  5  sqrt(max_i m^_i^2)= 0.196167  sqrt(sum_i m^_i^2)= 1.747404  ratio= 0.112262  learning rate for ModAdam= 0.001505  learning rate= 0.000300
